guard,coreLen,coreTh,exitTh,tp,sl,maxBars,trainN,trainExp,trainPF,trainWin,testN,testExp,testPF,testWin,testDD,robust
none,3,5,70,2,2,0,156,-0.121,0.937,25.9,57,0.403,1.256,41.5,-9.7,4
none,3,5,70,2,2,24,156,-0.121,0.937,25.9,57,0.403,1.256,41.5,-9.7,4
none,3,5,70,2,2,48,156,-0.121,0.937,25.9,57,0.403,1.256,41.5,-9.7,4
none,3,5,70,2,3,0,153,-0.250,0.828,32.7,55,0.105,1.004,45.1,-14.0,3
none,3,5,70,2,3,24,153,-0.250,0.828,32.7,55,0.105,1.004,45.1,-14.0,3
none,3,5,70,2,3,48,153,-0.250,0.828,32.7,55,0.105,1.004,45.1,-14.0,3
none,3,5,70,2,5,0,141,-0.383,0.830,44.7,49,1.196,1.684,66.2,-11.1,5
none,3,5,70,2,5,24,141,-0.383,0.830,44.7,49,1.196,1.684,66.2,-11.1,5
none,3,5,70,2,5,48,141,-0.383,0.830,44.7,49,1.196,1.684,66.2,-11.1,5
none,3,5,70,3,2,0,156,-0.170,0.898,23.8,57,0.437,1.211,37.1,-10.3,4
none,3,5,70,3,2,24,156,-0.170,0.898,23.8,57,0.437,1.211,37.1,-10.3,4
none,3,5,70,3,2,48,156,-0.170,0.898,23.8,57,0.437,1.211,37.1,-10.3,4
none,3,5,70,3,3,0,153,-0.284,0.802,30.6,55,0.105,0.957,40.8,-15.0,3
none,3,5,70,3,3,24,153,-0.284,0.802,30.6,55,0.105,0.957,40.8,-15.0,3
none,3,5,70,3,3,48,153,-0.284,0.802,30.6,55,0.105,0.957,40.8,-15.0,3
none,3,5,70,3,5,0,141,-0.364,0.836,42.3,49,1.070,1.425,59.4,-12.9,5
none,3,5,70,3,5,24,141,-0.364,0.836,42.3,49,1.070,1.425,59.4,-12.9,5
none,3,5,70,3,5,48,141,-0.364,0.836,42.3,49,1.070,1.425,59.4,-12.9,5
none,3,10,60,0,2,0,448,0.035,0.999,19.6,196,0.186,1.120,24.0,-20.6,4
none,3,10,60,0,2,24,448,0.035,0.999,19.6,196,0.186,1.120,24.0,-20.6,4
none,3,10,60,0,2,48,448,0.035,0.999,19.6,196,0.186,1.120,24.0,-20.6,4
none,3,10,60,0,3,0,426,0.139,1.028,26.3,181,0.273,1.131,32.2,-25.1,4
none,3,10,60,0,3,24,426,0.139,1.028,26.3,181,0.273,1.131,32.2,-25.1,4
none,3,10,60,0,3,48,426,0.139,1.028,26.3,181,0.273,1.131,32.2,-25.1,4
none,3,10,60,0,5,0,390,-0.373,0.869,32.7,160,0.432,1.177,44.6,-28.1,4
none,3,10,60,0,5,24,390,-0.373,0.869,32.7,160,0.432,1.177,44.6,-28.1,4
none,3,10,60,0,5,48,390,-0.373,0.869,32.7,160,0.432,1.177,44.6,-28.1,4
none,3,10,60,2,2,0,448,-0.075,0.965,27.9,196,-0.175,0.887,31.0,-19.0,2
none,3,10,60,2,2,24,448,-0.075,0.965,27.9,196,-0.175,0.887,31.0,-19.0,2
